Concentration_mM,File,tau_inc
200,freq-cell6.csv,499.99999999986903
200,freq-cell13.csv,80.77863481661025
200,freq-cell7.csv,0.20601254015763626
200,freq-cell11.csv,499.9999999999997
200,freq-cell15.csv,290.1766213992401
200,freq-cell3.csv,499.99999999999994
200,freq-cell9.csv,243.50101544177414
200,freq-cell8.csv,83.24021348291342
300,freq-cell6.csv,132.6412947050806
300,freq-cell13.csv,225.72785291304046
300,freq-cell7.csv,98.63747067388252
300,freq-cell5.csv,124.2576445418573
300,freq-cell11.csv,380.74650752534944
300,freq-cell3.csv,23.19416497173408
300,freq-cell2.csv,138.81290169564792
300,freq-cell9.csv,499.99999999999017
400,freq-cell12.csv,499.9999999999972
400,freq-cell13.csv,499.99999999999994
400,freq-cell7.csv,92.50542461641992
400,freq-cell10.csv,109.5458908906469
400,freq-cell15.csv,499.9999999999944
400,freq-cell1.csv,145.78878393967136
400,freq-cell2.csv,160.21472466849696
400,freq-cell8.csv,499.99999999999994
500,freq-cell13.csv,473.05782047365676
500,freq-cell14.csv,181.83579067898512
500,freq-cell3.csv,499.9999999993208
500,freq-cell2.csv,499.99999999386375
