assay,osmolyte,condition_mM,rotation_direction,n_traces,n_files,data_files
100mM,sucrose,100,CCW,11,1,data/time-series/bead/100mm_100mM.parquet
20mM-with-osmoprotectants,osmoprotectants,200,CCW,9,1,data/time-series/bead/20mm_with_osmoprotectants_200mM.parquet
Adaption,sucrose,200,CCW,8,1,data/time-series/bead/adaption_200mM.parquet
Adaption,sucrose,300,CCW,8,1,data/time-series/bead/adaption_300mM.parquet
Adaption,sucrose,400,CCW,8,1,data/time-series/bead/adaption_400mM.parquet
Adaption,sucrose,500,CCW,4,1,data/time-series/bead/adaption_500mM.parquet
Clockwise,sucrose,200,CW,8,1,data/time-series/bead/clockwise_200mM.parquet
Clockwise,sucrose,300,CW,8,1,data/time-series/bead/clockwise_300mM.parquet
Clockwise,sucrose,400,CW,9,1,data/time-series/bead/clockwise_400mM.parquet
Clockwise,sucrose,500,CW,8,1,data/time-series/bead/clockwise_500mM.parquet
Sodium,sodium,200,CCW,10,1,data/time-series/bead/sodium_200mM.parquet
Sodium,sodium,300,CCW,10,1,data/time-series/bead/sodium_300mM.parquet
Sodium,sodium,400,CCW,10,1,data/time-series/bead/sodium_400mM.parquet
Sodium,sodium,500,CCW,10,1,data/time-series/bead/sodium_500mM.parquet
Sorbitol,sorbitol,200,CCW,8,1,data/time-series/bead/sorbitol_200mM.parquet
Sorbitol,sorbitol,300,CCW,8,1,data/time-series/bead/sorbitol_300mM.parquet
Sorbitol,sorbitol,400,CCW,8,1,data/time-series/bead/sorbitol_400mM.parquet
Sorbitol,sorbitol,500,CCW,8,1,data/time-series/bead/sorbitol_500mM.parquet
Sucrose,sucrose,200,CCW,8,1,data/time-series/bead/sucrose_200mM.parquet
Sucrose,sucrose,300,CCW,10,1,data/time-series/bead/sucrose_300mM.parquet
Sucrose,sucrose,400,CCW,8,1,data/time-series/bead/sucrose_400mM.parquet
Sucrose,sucrose,500,CCW,12,1,data/time-series/bead/sucrose_500mM.parquet
